date,venue,city,state,country,setlist,link
2011.12.31,The Tabernacle,Atlanta,GA,USA,"SET I: Artifact, MOD, Abcees, Inspire Strikes Back, King Pharaoh's Tomb, Circus, Vapors, Aimlessly  SET II: Countdown > Auld Lang Syne > 20-12, Scheme, EHM, Breathe In, When The Dust Settles Reprise, Arigato > Moon Socket, Instantly, Rent  E: Shock Doctrine, The Spectacle ",http://digital.1320records.com/search/release.php?RELEASE_ID=891
2011.12.30,The Tabernacle,Atlanta,GA,USA,"SET I: Be Nice, Empires, Move My Peeps, Scheme Reprise, Lion, Golden Gate, Frequencies DnB > 2 > 3, Atlas SET II: This Us, Hidden Hand Hidden Fist, Metameme, Satori, Looking Back On Earth, Firewall, March, When The Dust Settles, The Unquestionable Supremacy of Nature E: From Now On, The Rabble",http://digital.1320records.com/search/release.php?RELEASE_ID=890
2011.12.29,The Tabernacle,Atlanta,GA,USA,"SET I: NIN Closer, Tooth, F. Word, Lo Swaga, We'll Meet In Our Dreams, I love You Interlude, Jebez, Hi-Key, Oil & Water, Wika Chikana, SET II: Really What?, Beyond Right Now, Peaceblaster '68, Peaceblaster '08, Gobnugget, Grizzly, Orbital, Simulator, New New 4 U U E: Water Song",http://digital.1320records.com/search/release.php?RELEASE_ID=889
2011.12.28,The Tabernacle,Atlanta,GA,USA,"SET I: Musical Story Yes > Better Day > By the Morning Sun, Peoples, Grow, Once Told, ReEmergence > EB, Music Us, What Is Love? SET II: Twilight, Glogli, Somesing, Crystal Instrument, Luma Daylight > Tokyo, One A Day, Baraka  E: Today, Vibyl",http://digital.1320records.com/search/release.php?RELEASE_ID=887
2011.12.27,The Tabernacle,Atlanta,GA,USA,"SET I: Georgia On My Mind, Tap-In, Equinox, Mischief of a Sleepwalker, Dance > Inspire Strikes Back, Squares & Cubes, Ramone & Emiglio, Hubble SET II: Four Year Puma > Kaya > Open E, ...And Some Are Angels, Evasive Maneuvers > Kamuy, Monkey Music, Moon Socket  E: STS9",http://digital.1320records.com/search/release.php?RELEASE_ID=888
2011.11.05,House of Blues,Dallas,TX,USA,"SET I: Live at Home, EHM, Aimlessly, Golden Gate, Rent, Kaya, Inspire Strikes Back, Arigato, Breathe In SET II: 20-12, Evasive Maneuvers, EB, Equinox, What Is Love?, When The Dust Settles, Simulator, Scheme E: Kamuy, Circus",http://digital.1320records.com/search/release.php?RELEASE_ID=873
2011.11.04,House of Blues,New Orleans,LA,USA,"SET I: Light the Way, 20-12, Instantly, Beyond Right Now, Be Nice, Empires, F. Word, The Rabble, The Unquestionable Supremacy of Nature SET II: Scheme, Kamuy, Abcees, Hidden Hand Hidden Fist, NIN Intro, Tooth, Moon Socket, When The Dust Settles E: Shock Doctrine, Grow",http://digital.1320records.com/search/release.php?RELEASE_ID=871
2011.11.03,House of Blues,New Orleans,LA,USA,"SET I: ReEmergence > EB > Evasive Maneuvers > ReEmergence, Inspire Strikes Back, Arigato, Circus, Move My Peeps, Aimlessly SET II: Really What?, Rent, Golden Gate, Orbital, Simulator, What Is Love?, Atlas, EHM E: Music Us",http://digital.1320records.com/search/release.php?RELEASE_ID=869
2011.11.02,The Lyric,Oxford,MS,USA,"SET I: Telefon Tel Aviv Intro, Hidden Hand Hidden Fist, Metameme, Tooth, Kaya, Lo Swaga, Grow, Somesing, Scheme SET II: When The Dust Settles, Moon Socket, One A Day, Abcees, Kamuy, 20-12, Breathe In E: Equinox",http://digital.1320records.com/search/release.php?RELEASE_ID=867
2011.10.31,Georgia Theatre,Athens,GA,USA,"SET I: Intro, When The Dust Settles, Simulator, Instantly, Golden Gate, Beyond Right Now, Squares & Cubes, Rent, Evasive Maneuvers, The Rabble SET II: Arigato, 20-12, What Is Love?, Circus, Inspire Strikes Back, Aimlessly, Scheme, The Unquestionable Supremacy of Nature E: Jebez, EHM",http://digital.1320records.com/search/release.php?RELEASE_ID=857
2011.10.29,Moogfest,Asheville,NC,USA,"SET: NIN Intro, Scheme, Rent, EHM, 20-12, What Is Love?, Tooth, Instantly, Simulator, Abcees, Inspire Strikes Back, Atlas, When The Dust Settles, The Unquestionable Supremacy of Nature",http://digital.1320records.com/search/release.php?RELEASE_ID=864
2011.10.28,The Norva,Norfolk,VA,USA,"SET I: Shock Doctrine, Evasive Maneuvers, Hidden Hand Hidden Fist, The Rabble, Circus, Lo Swaga, EHM SET II: Oil & Water, Move My Peeps, Rent, Abcees, Scheme, Grow, When The Dust Settles E: Aimlessly",http://digital.1320records.com/search/release.php?RELEASE_ID=862
2011.10.27,The Fillmore,Silver Springs,MD,USA,"SET I: BeRev Intro, Arigato, 20-12, Kamuy, Golden Gate, Frequencies 3, Metameme, What Is Love? SET II: Scheme, Instantly, Simulator, Somesing, Squares & Cubes, Tooth, Moon Socket, When The Dust Settles E: This Us, Monkey Music",http://digital.1320records.com/search/release.php?RELEASE_ID=860
2011.10.26,State Theatre,State College,PA,USA,"SET I: Artifact, Aimlessly, Nautilus, Aimlessly, Hidden Hand Hidden Fist, F. Word, Abcees, ...And Some Are Angels, Move My Peeps, Oil & Water, The Unquestionable Supremacy of Nature SET II: Evasive Maneuvers, Rent, Lo Swaga, Breathe In, One A Day, EHM, Inspire Strikes Back E: Scheme",http://digital.1320records.com/search/release.php?RELEASE_ID=858
2011.10.23, Jefferson Theatre,Charlottesville,VA,USA,"SET I: Live at Home, Atlas, Grow, Beyond Right Now, Golden Gate, Be Nice, Empires, New Soma, Scheme SET II: Simulator, Tooth, Metameme, Grizzly, When The Dust Settles, Moon Socket, Instantly, Kamuy E: Equinox, 20-12",http://digital.1320records.com/search/release.php?RELEASE_ID=855
2011.10.22,Best Buy Theater,New York,NY,USA,"SET I: NIN Intro > Scheme, Rent, Abcees, Inspire Strikes Back, Arigato, Squares & Cubes, Shock Doctrine, What Is Love? SET II: Hidden Hand Hidden Fist, When The Dust Settles, 20-12, Evasive Maneuvers, Ramone & Emiglio, EHM, The Unquestionable Supremacy of Nature E: Circus",http://digital.1320records.com/search/release.php?RELEASE_ID=853
2011.10.21,Electric Factory,Philadelphia,PA,USA,"SET I: BoC Intro, Tooth, Lo Swaga, Really What?, Kamuy, Monkey Music, Hi-Key, The Rabble, Aimlessly SET II: EHM, Oil & Water, Lion, Golden Gate > Frequencies 3, Scheme, Simulator, When The Dust Settles E: Instantly",http://digital.1320records.com/search/release.php?RELEASE_ID=851
2011.10.20,House of Blues,Boston,MA,USA,"SET I: Shock Doctrine, Be Nice, One A Day, Inspire Strikes Back, We'll Meet In Our Dreams, Beyond Right Now, The Unquestionable Supremacy of Nature, When The Dust Settles SET II: Rent, Evasive Maneuvers, Atlas, Metameme, What Is Love?, Arigato, Moon Socket
E: Scheme",http://digital.1320records.com/search/release.php?RELEASE_ID=849
2011.10.19,Higher Ground,So. Burlington,VT,USA,"SET I: 20-12, Simulator, Grow, Golden Gate, Equinox, Tokyo, Abcees, Scheme SET II: This Us, When The Dust Settles, Aimlessly, Kamuy, From Now On, Instantly, EHM E: Hidden Hand Hidden Fist",http://digital.1320records.com/search/release.php?RELEASE_ID=847
2011.10.16,Wescott Theatre,Syracuse,NY,USA,"SET I: Oil & Water, Be Nice, Beyond Right Now, Empires > New Soma, F. Word, Wika Chikana, The Unquestionable Supremacy of Nature SET II: Inspire Strikes Back, Shock Doctrine, What Is Love?, Really What?, Breathe In, New New 4 U U, When The Dust Settles E: Scheme, Circus",http://digital.1320records.com/search/release.php?RELEASE_ID=845
2011.10.15,Water Street Music Hall,Rochester,NY,USA,"SET I: BoC Intro, Atlas, 20-12, Scheme, Jebez, Simulator, Abcees, EHM SET II: Lion > Frequencies 3, One A Day,  Metameme, Evasive Maneuvers, Kamuy, Aimlessly, Rent E: This Us > Monkey Music",http://digital.1320records.com/search/release.php?RELEASE_ID=843
2011.10.14,Madison Theatre,Covington,KY,USA,"SET I: ReEmergence > EB > ReEmergence > Tap-In, Hidden Hand Hidden Fist, Grow, Grizzly, The Rabble, What Is Love?, When The Dust Settles SET II: Arigato, Be Nice, Lo Swaga, Golden Gate, Equinox, Instantly, Tooth, Moon Socket E: Move My Peeps",http://digital.1320records.com/search/release.php?RELEASE_ID=841
2011.10.13,Tuscaloosa Amphitheatre,Tuscaloosa,AL,USA,"SET: Fall Back Intro > The Unquestionable Supremacy of Nature, Scheme, Rent, 20-12, Abcees, Inspire Strikes Back, EHM, When The Dust Settles > Regeneration",http://digital.1320records.com/search/release.php?RELEASE_ID=840
2011.10.08,Egyptian Room,Indianapolis,IN,USA,"SET I: This Us, Tooth, Beyond Right Now, 20-12, Grizzly, Wika Chikana, Hidden Hand Hidden Fist, Aimlessly, SET II: EHM, Be Nice, Empires, Oil & Water, Abcees, Scheme, Evasive Maneuvers, Inspire Strikes Back E: Arigato",http://digital.1320records.com/search/release.php?RELEASE_ID=833
2011.10.07,Newport Music Hall,Columbus,OH,USA,"SET I: NIN Intro, What Is Love?, Atlas, Metameme, Equinox, Golden Gate, Shock Doctrine, Moon Socket, Scheme SET II: Really What?, EB, Simulator, Breathe In, Lion, Rent, The Unquestionable Supremacy of Nature, When The Dust Settles E: Tap-In",http://digital.1320records.com/search/release.php?RELEASE_ID=831
2011.10.06,House Of Blues,Cleveland,OH,USA,"SET I: Intro, Hidden Hand Hidden Fist, Grow, 20-12, Lo Swaga, Water Song, New New 4 U U, Abcees, Inspire Strikes Back SET II: Light The Way, Evasive Maneuvers, Monkey Music, When The Dust Settles, The Rabble, Move My  Peeps, One A Day, Oil & Water, Circus E: EHM",http://digital.1320records.com/search/release.php?RELEASE_ID=830
2011.10.05,The Orbit Room,Grand Rapids,MI,USA,"SET I: Be Nice, Empires , Moon Socket, Music Us, Golden Gate, Frequencies 3, Aimlessly, The Unquestionable Supremacy of Nature SET II: Beyond Right Now, F. Word, Scheme, Kamuy, Instantly, Tooth, Arigato, Rent E: When The Dust Settles",http://digital.1320records.com/search/release.php?RELEASE_ID=827
2011.10.02,Canopy Club,Urbana,IL,USA,"SET I: 20-12, Simulator, Grow, F. Word, Luma Daylight, Tokyo, Abcees, Wika Chikana SET II: This Us, When The Dust Settles, Inspire Strikes Back, New New 4 U U, Golden Gate, Breathe In, What Is Love?, EHM E: Baraka",http://digital.1320records.com/search/release.php?RELEASE_ID=824
2011.10.01,Liberty Hall,Lawrence,KS,USA,"SET I: Boards Intro, Really What?, EB, Metameme, Equinox, We'll Meet In Our Dreams, Lo Swaga, Arigato, Hidden Hand Hidden Fist, Atlas SET II: NIN Intro, Tooth, Moon Socket, Scheme, Rent, Evasive Maneuvers, Kamuy, The Unquestionable Supremacy of Nature E: Circus
",http://digital.1320records.com/search/release.php?RELEASE_ID=822
2011.09.30,Riverside Theater,Milwaukee,WI,USA,"SET I: Shock Doctrine, Be Nice, Oil & Water, Lion, Golden Gate, Frequencies 3, Instantly, Beyond Right Now, One A Day SET II: Light the Way, The Rabble, What Is Love?, When The Dust Settles, Move My Peeps, Monkey Music, Abcees, Inspire Strikes Back, Aimlessly E: Somesing",http://digital.1320records.com/search/release.php?RELEASE_ID=820
2011.09.24,Blackwater Music Festival,Live Oaks,FL,USA,"SET: Suwanne Intro, Scheme, The Unquestionable Supremacy of Nature, Evasive Maneuvers, Monkey Music, 20-12, Simulator, Grow, Rent, Inspire Strikes Back, What Is Love?, When The Dust Settles, Arigato",http://digital.1320records.com/search/release.php?RELEASE_ID=816
2011.09.10,Red Rocks Amphitheatre,Morrison,CO,USA,"SET I: NIN Intro, Tooth, Moon Socket, Simulator, Golden Gate, Abcees, Move My Peeps, The Rabble, When The Dust Settles SET II: What Is Love?, Shock Doctrine, New New 4 U U, Boards Interlude, Wika Chikana, 20-12, Inspire Strikes Back, The Unquestionable Supremacy of Nature E: Grizzly, Baraka",http://digital.1320records.com/search/release.php?RELEASE_ID=779
2011.09.09,Red Rocks Amphitheatre,Morrison,CO,USA,"SET I: Artifact, Arigato, Hidden Hand Hidden Fist, Metameme, Be Nice, Empires, Breathe In, Instantly, Oil & Water SET II: 373 Interlude, Scheme, Rent, Evasive Maneuvers, EB, Beyond Right Now, Aimlessly, EHM, Circus E: This Us, Monkey Music",http://digital.1320records.com/search/release.php?RELEASE_ID=778
2011.09.08,Ogden Theatre,Denver,CO,USA,"SET I: ReEmergence, Tap-In, Kamuy, F. Word, We'll Meet In Our Dreams, Somesing, Frequencies 2 > 3, Hubble SET II: Really What?, Grow, Luma Daylight, Tokyo, Lo Swaga, Lion, One A Day, Four Year Puma E: Equinox",http://digital.1320records.com/search/release.php?RELEASE_ID=777
2011.09.03,North Coast Music Festival,Chicago,IL,USA,"SET: Light the Way, EHM, Inspire Strikes Back, Lo Swaga, Aimlessly, Interlude, Hidden Hand Hidden Fist, 20-12, Moon Socket, Scheme, When The Dust Settles, Arigato",http://digital.1320records.com/search/release.php?RELEASE_ID=801
2011.09.02,Congress Theatre,Chicago,IL,USA,"SET: Intro, Rent, Be Nice, Golden Gate, Tooth, Instantly, Empires, Grow, Beyond Right Now, Abcees, Kamuy, What Is Love?, The Unquestionable Supremacy of Nature > Peaceblaster '08 > The Unquestionable Supremacy of Nature",http://digital.1320records.com/search/release.php?RELEASE_ID=800
2011.08.27,Stubb's BBQ, Austin,TX,USA,"SET I: Shock Doctrine, The Unquestionable Supremacy of Nature, Abcees, Golden Gate, Lo Swaga, F. Word, Empires, When The Dust Settles SET II: NIN Intro, Scheme, Rent, Grow, One A Day, Aimlessly, Baraka E: Circus, Surreality, EB",http://digital.1320records.com/search/release.php?RELEASE_ID=788
2011.08.26,Stubb's BBQ, Austin,TX,USA,"SET I: What Is Love?, Instantly, Move My Peeps, Tooth, Beyond Right Now, Hidden Hand Hidden Fist, Atlas SET II: Inspire Strikes Back, New New 4 U U, Evasive Maneuvers, Kamuy, 20-12, Breathe In, EHM, Arigato E: Moon Socket Acoustic, Moon Socket Electric",http://digital.1320records.com/search/release.php?RELEASE_ID=787
2011.08.14,Outside Lands,,,San Francisco,"SET: Intro, Unquestionable Supremacy of Nature, Interlude 1, When The Dust Settles, Abcees, Inspire Strikes Back, EHM, Scheme, Rent",http://digital.1320records.com/search/release.php?RELEASE_ID=771
2011.08.13,The Independent,San Francisco,CA,USA,"SET I:  Light The Way, This Us, Empires, New Soma, Instantly, Golden Gate, Ramone & Emiglio, Atlas, What Is Love? SET II: Scheme, Really What?, Evasive Maneuvers, Monkey Music, Kamuy, Be Nice, New New 4 U U E: Somesing
",http://digital.1320records.com/search/release.php?RELEASE_ID=772
2011.08.12,House of Blues,San Diego,CA,USA,"SET I: Artifact, Shock Doctrine, 20-12, Grow, Equinox, Lo Swaga, Abcees, Inspire Strikes Back SET II: Aimlessly, Rent, Hi-Key, Wika Chikana, The Rabble, Arigato, The Unquestionable Supremacy of Nature E: Circus
",http://digital.1320records.com/search/release.php?RELEASE_ID=774
2011.08.11,House of Blues,Los Angeles,CA,USA,"SET I: Be Nice, When The Dust Settles, One a Day, Hidden Hand Hidden Fist, Grizzly, NIN Intro > Tooth, Moon Socket SET II: Scheme, Instantly, Move My Peeps, F. Word, Kamuy, EHM, What Is Love? E: Beyond Right Now, Frequencies 2 > 3",http://digital.1320records.com/search/release.php?RELEASE_ID=773
2011.08.06,Kanrocksas,Kansas City,KS,USA,"SET: Intro, Scheme, Rent, EHM, Interlude 1, Instantly, When The Dust Settles, The Unquestionable Supremacy of Nature, Interlude 2, Abcees, 20-12, What Is Love?, Arigato, Inspire Strikes Back",http://digital.1320records.com/search/release.php?RELEASE_ID=770
2011.07.19,Red Sky Music Festival,Omaha,NE,USA,"SET: Moon Socket, Move My Peeps, Tooth, Kamuy, Scheme, Circus, Beyond Right Now, Be Nice, When The Dust Settles, EHM, Aimlessly
",http://digital.1320records.com/search/release.php?RELEASE_ID=768
2011.07.14,All Good Music Festival,Masontown,WV,USA,"SET: Circus, When The Dust Settles, Hidden Hand Hidden Fist, 20-12, Arigato, EHM, Abcees, Hubble, Scheme, Rent, The Unquestionable Supremacy of Nature, Inspire Strikes Back
",http://digital.1320records.com/search/release.php?RELEASE_ID=767
2011.06.26,Axe the Cables,ReGeneration Festival :: Horning's Hideout,OR,USA,"SET: Equinox, From Now On, Moon Socket, South of Here, Glen Tells Kengo, Untitled, The New Soma, Circus, Roygbiv > Dance",http://digital.1320records.com/search/release.php?RELEASE_ID=754
2011.06.26,ReGeneration Festival,Horning's Hideout,OR,USA,"SET I: Intro, Really What?, Beyond Right Now, Kamuy, Peoples, Crystal Instrument, STS9, Lo Swaga, Orbital SET II: Be Nice, Abcees, Hubble, 8 & a extra, Moon Socket, Hidden Hand Hidden Fist, What is Love?, EHM E: BARAKA 
",http://digital.1320records.com/search/release.php?RELEASE_ID=755
2011.06.25,ReGeneration Festival,Horning's Hideout,OR,USA,"SET I: Intro, This Us >, Instantly, Shock Doctrine, Frequencies 2 > 3, Four Year Puma, Arigato, NIN Intro > Tooth, When the Dust Settles SET II: The Unquestionable Supremacy of Nature, Golden Gate, F. Word, Water Song, Aimlessly, 20-12, Scheme, Rent E: Breathe In, We'll Meet in our Dreams
",http://digital.1320records.com/search/release.php?RELEASE_ID=752
2011.06.24,ReGeneration Festival,Horning's Hideout,OR,USA,"SET:  Intro, ReEmergence, Grow, Move My Peeps, Somesing, Luma Daylight, Tokyo, Empires*, Improv / Jam*, Firewall*, Tap-In, Mischief of a Sleepwalker, One A Day, Inspire Strikes Back
*w/ Dom Lalli (Big Gigantic)",http://digital.1320records.com/search/release.php?RELEASE_ID=753
2011.06.11,Bonnaroo,Manchester,TN,USA,"SET: NIN intro -> Tooth, Arigato, Hidden Hand Hidden Fist, EHM, Slight Shift, When The Dust Settles (w/ It's a Family Affair teases), Move My Peeps, The Unquestionable Supremacy of Nature, 20-12, Hubble, Scheme, Rent, Moon Socket, New New 4 U U, Abcees, Circus",http://digital.1320records.com/search/release.php?RELEASE_ID=748
2011.06.04,Wakarusa Music Festival (Tent),Ozark,AR,USA,"SET: Artifact, Beyond Right Now, Kamuy, Atlas, Lo Swaga, 8 & a extra, Hidden Hand Hidden Fist, Be Nice, Abcees, Interlude, Surreality, EB, Moon Socket, Rent, EHM",http://digital.1320records.com/search/release.php?RELEASE_ID=747
2011.06.03,Wakarusa Music Festival (Main Stage),Ozark,AR,USA,"SET: Intro, When The Dust Settles, Aimlessly, F. Word, The Unquestionable Supremacy of Nature, Wika Chikana, Shakedown Street, 20-12, Interlude, Scheme, Inspire Strikes Back, What Is Love?",http://digital.1320records.com/search/release.php?RELEASE_ID=746
2011.05.29,Summer Camp (Late Night),Chillicothe,IL,USA,"SET: Oil & Water, When The Dust Settles, B of C, Inspire Strikes Back, Ramone & Emiglio, New New 4 U U, Regeneration, Arigato, Slight Shift, Shock Doctrine, Evasive Maneuvers, Interlude 73, Tooth, The Unquestionable Supremacy of Nature, 20-12 ",http://digital.1320records.com/search/release.php?RELEASE_ID=742
2011.05.27,Summer Camp (Main Stage),Chillicothe,IL,USA,"SET: Abcees, What Is Love?, Rent, 8 & a extra, Be Nice, Instantly, Grizzly, Grow, Artifact, Moon Socket, EHM, Scheme",http://digital.1320records.com/search/release.php?RELEASE_ID=741
2011.05.20,Hangout Festival,Gulf Shores,AL,USA,"SET: Intro, Scheme, Musical Story Yes, 20-12 (first time played), Ghobi, When The Dust Settles, Inspire Strikes Back, Hi-Key, Hidden Hand Hidden Fist, Arigato, Regeneration, New New 4 U U, Aimlessly, The Unquestionable Supremacy of Nature
",http://digital.1320records.com/search/release.php?RELEASE_ID=740
2011.04.29,Nocturnal Festival,Rockdale,TX,USA,"SET: The Unquestionable Supremacy of Nature, Evasive Maneuvers, Be Nice, When The Dust Settles, EHM, One Minute To Midnight, Inspire Strikes Back, Tooth, What Is Love?, Scheme",http://digital.1320records.com/search/release.php?RELEASE_ID=734
2011.04.23,Pageant,St Louis,MO,USA,"SET 1: Lo Swaga, Shock Doctrine, Somesing, Music Us, Abcees, Breathe In, The Rabble, Scheme SET 2: The Unquestionable Supremacy of Nature, One Minute To Midnight, Instantly, Lion > Monkey Music > Ramone & Emiglio (Ending Only), When the Dust Settles, Rent
E: Arigato",http://digital.1320records.com/search/release.php?RELEASE_ID=719
2011.04.22,Pageant,St Louis,MO,USA,"SET 1: Hidden Hand Hidden Fist, Peoples, STS9, Grizzly, Frequencies 2 > 3, Gobnugget, Oil & Water, New New for U U SET 2: This Us, What is Love?, Mobsters > Surreality > EB, By the Morning Sun, Peaceblaster 68 > 08, Tokyo, Hi-Key, EHM E: Kamuy
",http://digital.1320records.com/search/release.php?RELEASE_ID=713
2011.04.21,Classic Center,Athens,GA,USA,"SET 1: Be Nice, Evasive Maneuvers, Beyond Right Now, Metameme, Equinox, Circus, F.Word, When the Dust Settles SET 2: Move My Peeps, Aimlessy, Empires > 4 Year Puma > Crystal Instrument, The Unquestionable Supremacy of Nature E: Inspire Strikes Back",http://digital.1320records.com/search/release.php?RELEASE_ID=721
2011.04.20,Classic Center,Athens,GA,USA,"SET 1:  ReEmergence > Tap-In, Atlas, One A Day, We'll Meet In Our Dreams, From Now On, Once Told, King Pharaoh's Tomb SET 2: Wika Chikana, EHM, Abcees, Grow, Tooth, Scheme, Moon Socket E: Rent",http://digital.1320records.com/search/release.php?RELEASE_ID=720
2011.03.25,Ultra Music Festival,Miami,FL,USA,"SET:  Scheme, When The Dust Settles, Atlas, Abcees, Rent, Evasive Maneuvers, The Unquestionable Supremacy Of Nature, EHM",http://digital.1320records.com/search/release.php?RELEASE_ID=716
2011.01.23,Mayan Holidaze,,,Mexico,"SET: Equinox, Satori, Kamuy, Lo Swaga, The New Soma, South Of Here, Untitled, Untitled, King Pharaohs Tomb, Moon Socket > So It Goes
",http://digital.1320records.com/search/release.php?RELEASE_ID=697
2011.01.22,Mayan Holidaze,,,Mexico,"SET 1: Oil & Water, Rent, Be Nice, Arigato, Abcees, Beyond Right Now, Aimlessly, Wika Chikana SET 2: Breathe In, Scheme, Moon Socket, Hidden Hand Hidden Fist, Grizzly, Frequencies 2 > 3, Shock Doctrine, Mobsters > Surreality > EB, The Unquestionable Supremacy of Nature E: Dance",http://digital.1320records.com/search/release.php?RELEASE_ID=696
2011.01.20,Mayan Holidaze,,,Mexico,"SET 1: The Rabble, Tooth, Move My Peeps, Grow, F. Word, Ramone & Emiglio, Lion, One A Day, When the Dust Settles SET 2: Evasive Maneuvers, What is Love?, New New 4 U U, Circus,                                                                                Instantly, Inspire Strikes Back, EHM, Firewall                                           ",http://digital.1320records.com/search/release.php?RELEASE_ID=695
2011.01.01,Belly Up,Aspen,CO,USA,"SET 1: Gobnugget, Nautilus, Satori, 4 Year Puma, King Pharaoh's Tomb, From Now On,  ...And Some Are Angels, Dance, Hubble SET 2: Tokyo Remix > Luma Daylight > Tokyo, Mobsters > Surreality > EB, Once Told, When the Dust Settles, Scheme E1: Monkey Music, Kaya E2:  EHM Remix (*)  >  UN? Remix (*)

(*) first time played",http://digital.1320records.com/search/release.php?RELEASE_ID=690
2010.12.31,Fillmore Auditorium,Denver,CO,USA,"SET 1:  Equinox, Inspire Strikes Back , Really What?, Abcees, Grizzly, What is Love?, EHM, When The Dust Settles (*) SET 2: New New 4 U U, Uptight (Everything’s Alright) (*) -> Countdown -> Uptight, Firewall (*), F. Word, The Unquestionable Supremacy of Nature, Instantly, Evasive Maneuvers, Rent E: Hi-Key, Oil & Water, Baraka

(*) first time played (Stevie Wonder)",http://digital.1320records.com/search/release.php?RELEASE_ID=693
2010.12.30,Fillmore Auditorium,Denver,CO,USA,"SET 1: Tap In, Atlas, Grow, Metameme, Vibyl, Crystal Instrument, Peaceblaster '68 -> Peaceblaster '08 -> Keys (David Phipps) -> Drums (Zach Velmer & Jeffree Lerner) SET 2: Be Nice, Move My Peeps, Lo Swaga, Beyond Right Now, Breathe In, The Rabble, One a Day E: Wika Chikana",http://digital.1320records.com/search/release.php?RELEASE_ID=685
2010.12.29,Fillmore Auditorium,Denver,CO,USA,"SET 1: Shakedown Street (*), This Us, Ramone & Emiglio, Aimlessly, Lion, Music Us, Kamuy, Scheme (*) SET 2: Moon Socket, Tooth, STS9, Peoples, Circus, Shock Doctrine, Arigato, Hidden Hand Hidden Fist E: Frequencies DnB -> Frequencies 2 -> Frequencies 3 -> Shakedown Street (Reprise)  

(*) first time played",http://digital.1320records.com/search/release.php?RELEASE_ID=683
2010.10.30,Stubb's BBQ,Austin,TX,USA,"SET 1: Halloween Theme, Alex B's Metameme Remix > Metameme, Shock Doctrine, Crystal Instrument, Vibyl, Hidden Hand Hidden Fist, Frequencies 2 > 3, New New 4 U U SET 2: Unquestionable Supremacy of Nature > Peaceblaster 08, Evasive Maneuvers, Be Nice, Tooth, Moon Socket (Part II), Atlas, Oil & Water, Aimlessly E: Abcees > Unquestionable Reprise
",http://digital.1320records.com/search/release.php?RELEASE_ID=662
2010.10.29,Stubb's BBQ,Austin,TX,USA,"SET 1:  One a Day, STS9 > Mobsters > Gobnugget, Arigato, Grizzly, Move My Peeps, Lion, Inspire Strikes Back SET 2: Rent, Lo Swaga, What is Love?, Kamuy > Monkey Music, F. Word, EHM E: Wika Chikana ",http://digital.1320records.com/search/release.php?RELEASE_ID=661
2010.09.11,Red Rocks,Morrison,CO,USA,"SET 1: EHM, Unquestionable Supremacy of Nature > Peaceblaster 08'  > Unquestionable Supremacy of Nature, ARTiFACT, Hidden Hand Hidden Fist, Crystal Instrument, Equinox > Inspire Strikes Back, The Rabble SET 2: Instantly, Abcees, Forest Hu, Shock Doctrine, Empires* > Musical Story Yes > Oil & Water > What is Love?, One Minute to Midnight, The New Soma > EHM E: One a Day > Slight Shift > Arigato
*ft. Dom from Big Gigantic
",http://digital.1320records.com/search/release.php?RELEASE_ID=639
2010.09.10,Red Rocks,Morrison,CO,USA,"SET 1: Live at Home (intro) > Once Told, Evasive Maneuvers > Rent > Kamuy, Grizzly, Tooth, Moon Socket, Beyond Right Now SET 2: Metameme, Aimlessly, F. Word, 8 & a extra, Be Nice, Grow, Bwanf, New New 4 U U, Lo Swaga Atlas > Hubble E: Luma Daylight, Tokyo",http://digital.1320records.com/search/release.php?RELEASE_ID=638
2010.09.09,Boulder Theater,Boulder,CO,USA,"SET 1: Mobsters > STS9 > Wika Chikana > Surreality >  EB, Frequencies 2 > 3, Peoples, Gobnugget, Music Us, Somesing SET 2: Breathe In, Ramone & Emiglio, Squares and Cubes, Pianoir, GLOgli, Vibyl, Really What?, Hi-Key, Four Year Puma E: ...And Some Are Angels",http://digital.1320records.com/search/release.php?RELEASE_ID=637
2010.09.05,Crossroads Pavilion,Kansas City,MO,USA,"SET: Twilight, Be Nice, Lion, Crystal Instrument, Grizzly, One a Day, New New 4 U U, Really What?, Circus, Hubble, EHM, Rent E: Hi-Key, Unquestionable Supremacy of Nature",http://digital.1320records.com/search/release.php?RELEASE_ID=635
2010.09.04,Anchor Inn Music Center,Omaha,NE,USA,"SET: Instantly, Somesing, Grow, Abcees, Kaya, Shock Doctrine, Tokyo, Kamuy, Jebez, The Rabble, Evasive Maneuvers, Atlas E: Metameme, Inspire Strikes Back ",http://digital.1320records.com/search/release.php?RELEASE_ID=634
2010.09.03,River Parks Amphitheater,Tulsa,OK,USA,"SET: Beyond Right Now, Tooth, F. Word, Once Told, Equinox, This Us, Moon Socket, Aimlessly, Mischief of a Sleepwalker, Peoples, Ramone & Emiglio, Hidden Hand Hidden Fist, Unquestionable Supremacy Of Nature",http://digital.1320records.com/search/release.php?RELEASE_ID=633
2010.09.02,Arkansas Music Pavilion,Fayetteville,AR,USA,"SET:  Murph > Live at Home (intro) > Lion, Rent, Inspire Strikes Back, Open E, Wika Chikana, Grizzly, Vibyl, What is Love?, New New 4 U U, Slight Shift, Be Nice, Arigato, Satori E: Frequencies 2 > 3, EHM ",http://digital.1320records.com/search/release.php?RELEASE_ID=629
